show_id,country_1,country_2,country_3,country_4,country_5,country_6,country_7,country_8,country_9,country_10,country_11,country_12
s348,Spain, United Kingdom, United States,,,,,,,,,
s349,United Kingdom, United States,,,,,,,,,,
s350,United States,,,,,,,,,,,
s351,United States,,,,,,,,,,,
s352,United States, Germany,,,,,,,,,,
s353,United States, China,,,,,,,,,,
s354,United States,,,,,,,,,,,
s355,United States,,,,,,,,,,,
s356,United States,,,,,,,,,,,
s357,United States, France,,,,,,,,,,
s358,Spain, France, United Kingdom, United States,,,,,,,,
s359,United States,,,,,,,,,,,
s360,United States,,,,,,,,,,,
s361,United States,,,,,,,,,,,
s362,United States,,,,,,,,,,,
s363,,,,,,,,,,,,
s364,,,,,,,,,,,,
s365,,,,,,,,,,,,
s366,, France, Algeria,,,,,,,,,
s367,United Kingdom,,,,,,,,,,,
s368,,,,,,,,,,,,
s369,,,,,,,,,,,,
s370,,,,,,,,,,,,
s371,United States,,,,,,,,,,,
s372,,,,,,,,,,,,
s373,,,,,,,,,,,,
s374,,,,,,,,,,,,
s375,Nigeria,,,,,,,,,,,
s376,,,,,,,,,,,,
s377,,,,,,,,,,,,
s378,Poland,,,,,,,,,,,
s379,United States,,,,,,,,,,,
s380,,,,,,,,,,,,
s381,United States,,,,,,,,,,,
s382,,,,,,,,,,,,
s383,United States,,,,,,,,,,,
s384,India,,,,,,,,,,,
s385,,,,,,,,,,,,
s386,Germany,,,,,,,,,,,
s387,United States, Canada,,,,,,,,,,
s388,,,,,,,,,,,,
s389,,,,,,,,,,,,
s390,France, Israel, Germany, United States, United Kingdom,,,,,,,
s391,United States,,,,,,,,,,,
s392,Canada, United States,,,,,,,,,,
s393,United States,,,,,,,,,,,
s394,Australia,,,,,,,,,,,
s395,,,,,,,,,,,,
s396,,,,,,,,,,,,
s397,,,,,,,,,,,,
s398,,,,,,,,,,,,
s399,,,,,,,,,,,,
s400,,,,,,,,,,,,
s401,,,,,,,,,,,,
s402,Spain,,,,,,,,,,,
s403,United Kingdom,,,,,,,,,,,
s404,United States,,,,,,,,,,,
s405,,,,,,,,,,,,
s406,,,,,,,,,,,,
s407,,,,,,,,,,,,
s408,,,,,,,,,,,,
s409,,,,,,,,,,,,
s410,,,,,,,,,,,,
s411,India,,,,,,,,,,,
s412,,,,,,,,,,,,
s413,,,,,,,,,,,,
s414,,,,,,,,,,,,
s415,,,,,,,,,,,,
s416,India,,,,,,,,,,,
s417,,,,,,,,,,,,
s418,,,,,,,,,,,,
s419,,,,,,,,,,,,
s420,,,,,,,,,,,,
s421,,,,,,,,,,,,
s422,,,,,,,,,,,,
s423,,,,,,,,,,,,
s424,,,,,,,,,,,,
s425,,,,,,,,,,,,
s426,United States,,,,,,,,,,,
s427,New Zealand,,,,,,,,,,,
s428,,,,,,,,,,,,
s429,,,,,,,,,,,,
s430,Nigeria,,,,,,,,,,,
s431,,,,,,,,,,,,
s432,,,,,,,,,,,,
s433,,,,,,,,,,,,
s434,United States,,,,,,,,,,,
s435,Argentina,,,,,,,,,,,
s436,,,,,,,,,,,,
s437,Saudi Arabia,,,,,,,,,,,
s438,United States,,,,,,,,,,,
s439,,,,,,,,,,,,
s440,Thailand,,,,,,,,,,,
s441,United States,,,,,,,,,,,
s442,,,,,,,,,,,,
s443,United States, Canada,,,,,,,,,,
s444,,,,,,,,,,,,
s445,,,,,,,,,,,,
s446,United States,,,,,,,,,,,
s447,United States,,,,,,,,,,,
s448,United States,,,,,,,,,,,
s449,United States,,,,,,,,,,,
s450,United States,,,,,,,,,,,
s451,United States,,,,,,,,,,,
s452,United States,,,,,,,,,,,
s453,Indonesia,,,,,,,,,,,
s454,Japan,,,,,,,,,,,
s455,,,,,,,,,,,,
s456,,,,,,,,,,,,
s457,South Korea,,,,,,,,,,,
s458,Egypt, Denmark, Germany,,,,,,,,,
s459,,,,,,,,,,,,
s460,United States,,,,,,,,,,,
s461,United States, Canada,,,,,,,,,,
s462,,,,,,,,,,,,
s463,United States,,,,,,,,,,,
s464,Italy,,,,,,,,,,,
s465,,,,,,,,,,,,
s466,,,,,,,,,,,,
s467,,,,,,,,,,,,
s468,,,,,,,,,,,,
s469,,,,,,,,,,,,
s470,United States, Canada,,,,,,,,,,
s471,,,,,,,,,,,,
s472,,,,,,,,,,,,
s473,United States,,,,,,,,,,,
s474,United States,,,,,,,,,,,
s475,United States, Switzerland,,,,,,,,,,
s476,,,,,,,,,,,,
s477,,,,,,,,,,,,
s478,United States,,,,,,,,,,,
s479,Germany,,,,,,,,,,,
s480,,,,,,,,,,,,
s481,,,,,,,,,,,,
s482,,,,,,,,,,,,
s483,,,,,,,,,,,,
s484,,,,,,,,,,,,
s485,,,,,,,,,,,,
s486,,,,,,,,,,,,
s487,Hong Kong, Canada, United States,,,,,,,,,
s488,,,,,,,,,,,,
s489,United States,,,,,,,,,,,
s490,Kuwait, United States,,,,,,,,,,
s491,,,,,,,,,,,,
s492,United States,,,,,,,,,,,
s493,United States,,,,,,,,,,,
s494,United States, Japan,,,,,,,,,,
s495,United States,,,,,,,,,,,
s496,,,,,,,,,,,,
s497,France, Canada, United States, Spain,,,,,,,,
s498,,,,,,,,,,,,
s499,,,,,,,,,,,,
s500,United States,,,,,,,,,,,
s501,,,,,,,,,,,,
s502,,,,,,,,,,,,
s503,Nigeria,,,,,,,,,,,
s504,Poland,,,,,,,,,,,
s505,,,,,,,,,,,,
s506,,,,,,,,,,,,
s507,Australia,,,,,,,,,,,
s508,,,,,,,,,,,,
s509,France, Netherlands, Singapore,,,,,,,,,
s510,United States,,,,,,,,,,,
s511,Canada,,,,,,,,,,,
s512,United States,,,,,,,,,,,
s513,France, Belgium,,,,,,,,,,
s514,United States,,,,,,,,,,,
s515,United Kingdom,,,,,,,,,,,
s516,United Kingdom,,,,,,,,,,,
s517,Thailand,,,,,,,,,,,
s518,Japan,,,,,,,,,,,
s519,India,,,,,,,,,,,
s520,United Kingdom,,,,,,,,,,,
s521,United States,,,,,,,,,,,
s522,Canada,,,,,,,,,,,
s523,Russia,,,,,,,,,,,
s524,United Kingdom,,,,,,,,,,,
s525,Japan,,,,,,,,,,,
s526,United States, Canada,,,,,,,,,,
s527,United States,,,,,,,,,,,
s528,Ireland, United States, United Kingdom,,,,,,,,,
s529,India,,,,,,,,,,,
s530,Egypt,,,,,,,,,,,
s531,United States,,,,,,,,,,,
s532,Malaysia,,,,,,,,,,,
s533,United States,,,,,,,,,,,
s534,Israel,,,,,,,,,,,
s535,Indonesia,,,,,,,,,,,
s536,Canada,,,,,,,,,,,
s537,Australia,,,,,,,,,,,
s538,Japan,,,,,,,,,,,
s539,United Kingdom,,,,,,,,,,,
s540,Australia, New Zealand,,,,,,,,,,
s541,United Kingdom, Germany,,,,,,,,,,
s542,India,,,,,,,,,,,
s543,India,,,,,,,,,,,
s544,Belgium, Netherlands,,,,,,,,,,
s545,Canada,,,,,,,,,,,
s546,South Korea,,,,,,,,,,,
s547,,,,,,,,,,,,
s548,United States,,,,,,,,,,,
s549,United States,,,,,,,,,,,
s550,,,,,,,,,,,,
s551,,,,,,,,,,,,
s552,India,,,,,,,,,,,
s553,,,,,,,,,,,,
s554,France,,,,,,,,,,,
s555,Nigeria,,,,,,,,,,,
s556,South Korea, Czech Republic,,,,,,,,,,
s557,South Korea,,,,,,,,,,,
s558,Australia, United States,,,,,,,,,,
s559,United States,,,,,,,,,,,
s560,United States, Germany,,,,,,,,,,
s561,,,,,,,,,,,,
s562,United States,,,,,,,,,,,
s563,United States,,,,,,,,,,,
s564,United States,,,,,,,,,,,
s565,United States,,,,,,,,,,,
s566,Australia, Germany,,,,,,,,,,
s567,United States, Germany,,,,,,,,,,
s568,United States,,,,,,,,,,,
s569,United States,,,,,,,,,,,
s570,Vietnam,,,,,,,,,,,
s571,,,,,,,,,,,,
s572,,,,,,,,,,,,
s573,United Kingdom, Belgium,,,,,,,,,,
s574,United States, China,,,,,,,,,,
s575,United States, China,,,,,,,,,,
s576,United States,,,,,,,,,,,
s577,United Kingdom, Australia, United States,,,,,,,,,
s578,,,,,,,,,,,,
s579,France, Japan, United States,,,,,,,,,
s580,United States,,,,,,,,,,,
s581,,,,,,,,,,,,
s582,United States,,,,,,,,,,,
s583,United States,,,,,,,,,,,
s584,United States, United Kingdom,,,,,,,,,,
s585,United States,,,,,,,,,,,
s586,United Kingdom, United States,,,,,,,,,,
s587,,,,,,,,,,,,
s588,,,,,,,,,,,,
s589,United States,,,,,,,,,,,
s590,United Kingdom,,,,,,,,,,,
s591,,,,,,,,,,,,
s592,United States,,,,,,,,,,,
s593,United States,,,,,,,,,,,
s594,United States,,,,,,,,,,,
s595,United States, Germany,,,,,,,,,,
s596,Germany, United States,,,,,,,,,,
s597,United States,,,,,,,,,,,
s598,United States,,,,,,,,,,,
s599,United States, United Kingdom,,,,,,,,,,
s600,United States,,,,,,,,,,,
s601,United States,,,,,,,,,,,
s602,United States,,,,,,,,,,,
s603,United States,,,,,,,,,,,
s604,United States,,,,,,,,,,,
s605,United Kingdom, Germany, Spain, United States,,,,,,,,
s606,United States,,,,,,,,,,,
s607,United Kingdom, United States, France, Italy,,,,,,,,
s608,United States,,,,,,,,,,,
s609,United States, Germany, Canada,,,,,,,,,
s610,United States, France, Italy, United Kingdom,,,,,,,,
s611,United States, United Kingdom, Germany, Hungary,,,,,,,,
s612,United States, Canada,,,,,,,,,,
s613,United States, New Zealand,,,,,,,,,,
s614,Nigeria,,,,,,,,,,,
s615,United States, New Zealand,,,,,,,,,,
s616,United States,,,,,,,,,,,
s617,,,,,,,,,,,,
s618,Sweden,,,,,,,,,,,
s619,United States,,,,,,,,,,,
s620,,,,,,,,,,,,
s621,United States,,,,,,,,,,,
s622,,,,,,,,,,,,
s623,United States,,,,,,,,,,,
s624,,,,,,,,,,,,
s625,,,,,,,,,,,,
s626,Mexico,,,,,,,,,,,
s627,,,,,,,,,,,,
s628,China,,,,,,,,,,,
s629,United States,,,,,,,,,,,
s630,,,,,,,,,,,,
s631,United States,,,,,,,,,,,
s632,Japan,,,,,,,,,,,
s633,,,,,,,,,,,,
s634,,,,,,,,,,,,
s635,France,,,,,,,,,,,
s636,Lebanon,,,,,,,,,,,
s637,United States, Canada,,,,,,,,,,
s638,,,,,,,,,,,,
s639,United States,,,,,,,,,,,
s640,,,,,,,,,,,,
s641,,,,,,,,,,,,
s642,,,,,,,,,,,,
s643,Japan,,,,,,,,,,,
s644,United States,,,,,,,,,,,
s645,,,,,,,,,,,,
s646,,,,,,,,,,,,
s647,,,,,,,,,,,,
s648,,,,,,,,,,,,
s649,United States,,,,,,,,,,,
s650,,,,,,,,,,,,
s651,Brazil,,,,,,,,,,,
s652,Nigeria,,,,,,,,,,,
s653,,,,,,,,,,,,
s654,,,,,,,,,,,,
s655,Romania,,,,,,,,,,,
s656,Romania,,,,,,,,,,,
s657,Romania,,,,,,,,,,,
s658,United States,,,,,,,,,,,
s659,,,,,,,,,,,,
s660,Thailand,,,,,,,,,,,
s661,United States,,,,,,,,,,,
s662,France,,,,,,,,,,,
s663,United States,,,,,,,,,,,
s664,,,,,,,,,,,,
s665,Spain,,,,,,,,,,,
s666,Finland, Germany,,,,,,,,,,
s667,,,,,,,,,,,,
s668,United States,,,,,,,,,,,
s669,United States,,,,,,,,,,,
s670,Spain,,,,,,,,,,,
s671,,,,,,,,,,,,
s672,,,,,,,,,,,,
s673,,,,,,,,,,,,
s674,Argentina,,,,,,,,,,,
s675,United States,,,,,,,,,,,
s676,Japan,,,,,,,,,,,
s677,United States,,,,,,,,,,,
s678,Canada, United States,,,,,,,,,,
s679,United States,,,,,,,,,,,
s680,Thailand,,,,,,,,,,,
s681,United States,,,,,,,,,,,
s682,United Kingdom,,,,,,,,,,,
s683,Australia,,,,,,,,,,,
s684,,,,,,,,,,,,
s685,Spain,,,,,,,,,,,
s686,United States,,,,,,,,,,,
s687,South Korea,,,,,,,,,,,
s688,,,,,,,,,,,,
s689,Nigeria,,,,,,,,,,,
s690,,,,,,,,,,,,
s691,,,,,,,,,,,,
s692,,,,,,,,,,,,
s693,,,,,,,,,,,,
s694,,,,,,,,,,,,
s695,Lebanon, Syria,,,,,,,,,,
s696,,,,,,,,,,,,
s697,Canada, United States,,,,,,,,,,
s698,,,,,,,,,,,,
s699,Philippines,,,,,,,,,,,
s700,Iceland,,,,,,,,,,,
s701,,,,,,,,,,,,
s702,Canada,,,,,,,,,,,
s703,United States,,,,,,,,,,,
s704,Turkey,,,,,,,,,,,
s705,,,,,,,,,,,,
s706,Germany,,,,,,,,,,,
s707,,,,,,,,,,,,
s708,,,,,,,,,,,,
s709,United States,,,,,,,,,,,
s710,Argentina,,,,,,,,,,,
s711,,,,,,,,,,,,
s712,Italy,,,,,,,,,,,
s713,,,,,,,,,,,,
s714,United States,,,,,,,,,,,
s715,,,,,,,,,,,,
s716,,,,,,,,,,,,
s717,United States,,,,,,,,,,,
s718,,,,,,,,,,,,
s719,United States,,,,,,,,,,,
s720,United States,,,,,,,,,,,
s721,,,,,,,,,,,,
s722,United States,,,,,,,,,,,
s723,United States,,,,,,,,,,,
s724,United States,,,,,,,,,,,
s725,United States, United Kingdom,,,,,,,,,,
s726,,,,,,,,,,,,
s727,United States,,,,,,,,,,,
s728,United States,,,,,,,,,,,
s729,United States,,,,,,,,,,,
s730,,,,,,,,,,,,
s731,,,,,,,,,,,,
s732,South Korea,,,,,,,,,,,
s733,,,,,,,,,,,,
s734,Denmark,,,,,,,,,,,
s735,France, United States,,,,,,,,,,
s736,India,,,,,,,,,,,
s737,United States, India,,,,,,,,,,
s738,Philippines, Singapore, Indonesia,,,,,,,,,
s739,,,,,,,,,,,,
s740,China, United States, Canada,,,,,,,,,
s741,United States,,,,,,,,,,,
s742,Lebanon, United Arab Emirates,,,,,,,,,,
s743,Vietnam,,,,,,,,,,,
s744,Canada, United States, Denmark,,,,,,,,,
s745,Colombia,,,,,,,,,,,
s746,United Arab Emirates,,,,,,,,,,,
s747,United States,,,,,,,,,,,
s748,Nigeria,,,,,,,,,,,
s749,United States,,,,,,,,,,,
s750,United States,,,,,,,,,,,
s751,Mexico, France, Colombia,,,,,,,,,
s752,,,,,,,,,,,,
s753,United States, United Kingdom,,,,,,,,,,
s754,Colombia,,,,,,,,,,,
s755,United Kingdom, United States,,,,,,,,,,
s756,Netherlands,,,,,,,,,,,
s757,Nigeria,,,,,,,,,,,
s758,United States,,,,,,,,,,,
s759,United Kingdom,,,,,,,,,,,
s760,,,,,,,,,,,,
s761,,,,,,,,,,,,
s762,,,,,,,,,,,,
s763,South Korea,,,,,,,,,,,
s764,United States,,,,,,,,,,,
s765,South Africa,,,,,,,,,,,
